UnitSymbol,UnitName,MajorGroup,UnitDescri,Data_source,Duplicated
Iom,Maunder Formation,Orientale Group,"Maunder Formation, Imbrian System",I-1034,False
Iork,Montes Rook Formation-Knobby facies,Orientale Group,"Montes Rook Formation-Knobby facies, Imbrian System",I-1034,False
Iorm,Montes Rook Formation-Massif facies,Orientale Group,"Montes Rook Formation-Massif facies, Imbrian System",I-1034,False
INp,Light Plains,Other Materials,"Light Plains, Imbrian and Nectarian Systems",I-1047,True
Ig,Material of Grooves and Mounds,Other Materials,"Material of Grooves and Mounds, Imbrian System",I-1047,False
Im,Mare Materials of Dark Plains,Other Materials,"Mare Materials of Dark Plains, Imbrian System",I-1047,True
Ip,Smooth Light Plains,Other Materials,"Smooth Light Plains, Imbrian System",I-1047,True
It,Relatively Fresh Appearing Irregular Terra,Other Materials,"Relatively Fresh Appearing Irregular Terra, Imbrian System",I-1047,True
Np,Highly Cratered Light Plains,Other Materials,"Highly Cratered Light Plains, Nectarian System",I-1047,True
NpNt,Irregular Terra,Other Materials,"Irregular Terra, Nectarian and pre-Nectarian Systems",I-1047,True
Nt,Rolling Terra,Other Materials,"Rolling Terra, Nectarian System",I-1047,True
pNt,Cratered Terra,Other Materials,"Cratered Terra, pre-Nectarian System",I-1047,True
INfp,Furrowed and Pitted Material,Other Terra Materials,"Furrowed and Pitted Material, Imbrian or Nectarian System",I-0948,False
INp,Light Colored Plains Material,Other Terra Materials,"Light Colored Plains Material, Imbrian or Nectarian System",I-0948,False
INt,Terra Material,Other Terra Materials,"Terra Material, Imbrian and Nectarian Systems",I-1062,True
Ip,Light Colored Plains Material,Other Terra Materials,"Light Colored Plains Material, Imbrian System",I-0948,True
Ip,Undivided Plains Material,Other Terra Materials,"Undivided Plains Material, Imbrian System",I-1062,True
Ip1,Older Plains Material,Other Terra Materials,"Older Plains Material, Imbrian System",I-1062,False
Ip2,Younger Plains Material,Other Terra Materials,"Younger Plains Material, Imbrian System",I-1062,False
IpNt,Terra Material,Other Terra Materials,"Terra Material, Imbrian, Nectarian, and pre-Nectarian Systems",I-1062,False
It,Terra Mantling Material,Other Terra Materials,"Terra Mantling Material, Imbrian System",I-0948,True
It,Terra Material,Other Terra Materials,"Terra Material, Imbrian System",I-1062,True
Np,Light Colored Plains Material,Other Terra Materials,"Light Colored Plains Material, Nectarian System",I-0948,False
NpNt,Material of Partly Mantled Terra,Other Terra Materials,"Material of Partly Mantled Terra, Nectarian and pre-Nectarian System",I-0948,False
NpNt,Terra Material,Other Terra Materials,"Terra Material, Nectarian and pre-Nectarian Systems",I-1062,True
Nt,Terra Mantling Material,Other Terra Materials,"Terra Mantling Material, Nectarian System",I-0948,False
Nt,Terra Material,Other Terra Materials,"Terra Material, Nectarian System",I-1062,True
pNt,Material of Unmantled Terra,Other Terra Materials,"Material of Unmantled Terra, pre-Nectarian System",I-0948,False
pNt,Terra Material,Other Terra Materials,"Terra Material, pre-Nectarian System",I-1062,True
INt,Terra Material,Probable Basin-Related Materials,"Terra Material, Imbrian and Nectarian Systems",I-1162,True
Ifc,Fractured Crater Floor Material,Probable Basin-Related Materials,"Fractured Crater Floor Material, Imbrian System",I-1162,True
Ip,Plains Material,Probable Basin-Related Materials,"Plains Material, Imbrian System",I-1162,True
IpNg,Grooved Material,Probable Basin-Related Materials,"Grooved Material, Imbrian, Nectarian, and pre-Nectarian Systems",I-1162,False
IpNt,Terra Material,Probable Basin-Related Materials,"Terra Material, Imbrian, Nectarian, and pre-Nectarian Systems",I-1162,True
NpNt,Terra Material,Probable Basin-Related Materials,"Terra Material, Nectarian and pre-Nectarian Systems",I-1162,True
Ntp,Terra-Mantling and Plains Material,Probable Basin-Related Materials,"Terra-Mantling and Plains Material, Nectarian System",I-1162,False
pNt,Terra Material,Probable Basin-Related Materials,"Terra Material, pre-Nectarian System",I-1162,True
Cc,Undivided Crater Material,Undivided Crater Materials,"Undivided Crater Material, Copernican System",I-0703,False
Ic,Undivided Crater Material,Undivided Crater Materials,"Undivided Crater Material, Imbrian System",I-0703,False
pIc,Undivided Crater Material,Undivided Crater Materials,"Undivided Crater Material, pre-Imbrian System",I-0703,False
CEd,Dome Material,post-Orientale Group,"Dome Material, Copernican and Eratosthenian Systems",I-1034,True
Cc,Crater Material,post-Orientale Group,"Crater Material, Copernican System",I-1034,True
EIm,Mare Material,post-Orientale Group,"Mare Material, Eratosthenian and Imbrian Systems",I-1034,False
EIph,Hilly Plateau Material,post-Orientale Group,"Hilly Plateau Material, Eratosthenian and Imbrian Systems",I-1034,False
Ec,Crater Material,post-Orientale Group,"Crater Material, Eratosthenian System",I-1034,True
Ic2,Crater Materials,post-Orientale Group,"Crater Materials, Imbrian System, post-Orientale Group",I-1034,True
Ip,Plains Material,post-Orientale Group,"Plains Materials, Imbrian System",I-1034,True
INt,Terra Material,pre-Orientale Group,"Terra Material, Imbrian and Nectarian Systems",I-1034,False
Ic1,Crater Material,pre-Orientale Group,"Crater Material, Imbrian System, pre-Orientale Group",I-1034,True
If,Fra Mauro Formation,pre-Orientale Group,"Fra Mauro Formation, Imbrian System",I-1034,True
Nc,Crater Material,pre-Orientale Group,"Crater Material, Nectarian System",I-1034,True
Nhb,Hertzsprung Basin Material,pre-Orientale Group,"Hertzsprung Basin Material, Nectarian System",I-1034,False
Nhsc,Hertzsprung Secondary Crater Material,pre-Orientale Group,"Hertzsprung Secondary Crater Material, Nectarian System",I-1034,False
NpNhf,Hilly and Furrowed Material,pre-Orientale Group,"Hilly and Furrowed Material, Nectarian and pre-Nectarian Systems",I-1034,False
pNc,Crater Material,pre-Orientale Group,"Crater Material, pre-Nectarian System",I-1034,True
